Keyword,AMZ Search Volume,Google Search Volume,Google CPC,Google Competition,Amazon_Search_URL,Product_count,Product_url
spiral notebook 5x7 with pockets,4899,0.0,0.00,Low,https://www.amazon.com/s?k=spiral+notebook+5x7+with+pockets&page=1,2000,https://www.amazon.com/s?k=spiral+notebook+5x7+with+pockets&page=1
1 planner,4864,90.0,1.09,High,https://www.amazon.com/s?k=1+planner&page=1,40000,https://www.amazon.com/s?k=1+planner&page=1
spiral notebook 5 subject with pockets,4899,0.0,0.00,Low,https://www.amazon.com/s?k=spiral+notebook+5+subject+with+pockets&page=1,1000,https://www.amazon.com/s?k=spiral+notebook+5+subject+with+pockets&page=1
goal log book,4826,0.0,0.00,Low,https://www.amazon.com/s?k=goal+log+book&page=1,2000,https://www.amazon.com/s?k=goal+log+book&page=1
dunes journal,4824,0.0,0.00,Low,https://www.amazon.com/s?k=dunes+journal&page=1,138,https://www.amazon.com/s?k=dunes+journal&page=1
basic planner,4820,140.0,1.43,High,https://www.amazon.com/s?k=basic+planner&page=1,1000,https://www.amazon.com/s?k=basic+planner&page=1
faith journal,4824,720.0,1.16,High,https://www.amazon.com/s?k=faith+journal&page=1,10000,https://www.amazon.com/s?k=faith+journal&page=1
trace writing,4820,0.0,0.00,Low,https://www.amazon.com/s?k=trace+writing&page=1,30000,https://www.amazon.com/s?k=trace+writing&page=1
activities for kids ages 4-8 girls,4985,0.0,0.00,Low,https://www.amazon.com/s?k=activities+for+kids+ages+4-8+girls&page=1,20000,https://www.amazon.com/s?k=activities+for+kids+ages+4-8+girls&page=1
camp log book,4819,140.0,0.57,High,https://www.amazon.com/s?k=camp+log+book&page=1,5000,https://www.amazon.com/s?k=camp+log+book&page=1
spell tracker,4818,260.0,0.14,High,https://www.amazon.com/s?k=spell+tracker&page=1,876,https://www.amazon.com/s?k=spell+tracker&page=1
trace letters,4820,0.0,0.00,Low,https://www.amazon.com/s?k=trace+letters&page=1,3000,https://www.amazon.com/s?k=trace+letters&page=1
field journal,4823,1300.0,0.97,High,https://www.amazon.com/s?k=field+journal&page=1,2000,https://www.amazon.com/s?k=field+journal&page=1
bill log book,4820,0.0,0.00,Low,https://www.amazon.com/s?k=bill+log+book&page=1,10000,https://www.amazon.com/s?k=bill+log+book&page=1
gifts journal,4818,170.0,1.90,High,https://www.amazon.com/s?k=gifts+journal&page=1,100000,https://www.amazon.com/s?k=gifts+journal&page=1
kids ages 4-8,4815,0.0,0.00,Low,https://www.amazon.com/s?k=kids+ages+4-8&page=1,4000,https://www.amazon.com/s?k=kids+ages+4-8&page=1
book log book,4815,20.0,0.73,High,https://www.amazon.com/s?k=book+log+book&page=1,70000,https://www.amazon.com/s?k=book+log+book&page=1
abc trace,4955,0.0,0.00,Low,https://www.amazon.com/s?k=abc+trace&page=1,2000,https://www.amazon.com/s?k=abc+trace&page=1
hive trackers,4815,0.0,0.00,Low,https://www.amazon.com/s?k=hive+trackers&page=1,3000,https://www.amazon.com/s?k=hive+trackers&page=1
boat log book,4826,390.0,1.01,High,https://www.amazon.com/s?k=boat+log+book&page=1,533,https://www.amazon.com/s?k=boat+log+book&page=1
goat log book,4825,0.0,0.00,Low,https://www.amazon.com/s?k=goat+log+book&page=1,345,https://www.amazon.com/s?k=goat+log+book&page=1
drone tracker,4826,2400.0,1.79,High,https://www.amazon.com/s?k=drone+tracker&page=1,210,https://www.amazon.com/s?k=drone+tracker&page=1
faith planner,4826,480.0,0.91,High,https://www.amazon.com/s?k=faith+planner&page=1,777,https://www.amazon.com/s?k=faith+planner&page=1
lunar planner,4812,140.0,1.05,High,https://www.amazon.com/s?k=lunar+planner&page=1,1000,https://www.amazon.com/s?k=lunar+planner&page=1
trace with me,4816,0.0,0.00,Low,https://www.amazon.com/s?k=trace+with+me&page=1,1000,https://www.amazon.com/s?k=trace+with+me&page=1
gift log book,4820,50.0,1.24,High,https://www.amazon.com/s?k=gift+log+book&page=1,20000,https://www.amazon.com/s?k=gift+log+book&page=1
pink journals,4813,0.0,0.00,Low,https://www.amazon.com/s?k=pink+journals&page=1,4000,https://www.amazon.com/s?k=pink+journals&page=1
score tracker,4811,1900.0,3.68,High,https://www.amazon.com/s?k=score+tracker&page=1,593,https://www.amazon.com/s?k=score+tracker&page=1
drunk journal,4812,10.0,0.26,High,https://www.amazon.com/s?k=drunk+journal&page=1,207,https://www.amazon.com/s?k=drunk+journal&page=1
poop log book,4823,110.0,0.25,High,https://www.amazon.com/s?k=poop+log+book&page=1,222,https://www.amazon.com/s?k=poop+log+book&page=1
emoji journal,4812,720.0,0.66,High,https://www.amazon.com/s?k=emoji+journal&page=1,6000,https://www.amazon.com/s?k=emoji+journal&page=1
puzzled books,4814,0.0,0.00,Low,https://www.amazon.com/s?k=puzzled+books&page=1,1000,https://www.amazon.com/s?k=puzzled+books&page=1
bound planner,4811,140.0,2.41,High,https://www.amazon.com/s?k=bound+planner&page=1,3000,https://www.amazon.com/s?k=bound+planner&page=1
chibi journal,4810,0.0,0.00,Low,https://www.amazon.com/s?k=chibi+journal&page=1,329,https://www.amazon.com/s?k=chibi+journal&page=1
chore tracker,4811,480.0,2.73,High,https://www.amazon.com/s?k=chore+tracker&page=1,833,https://www.amazon.com/s?k=chore+tracker&page=1
mood calendar,4810,1000.0,0.48,High,https://www.amazon.com/s?k=mood+calendar&page=1,1000,https://www.amazon.com/s?k=mood+calendar&page=1
alien journal,4743,50.0,0.24,High,https://www.amazon.com/s?k=alien+journal&page=1,595,https://www.amazon.com/s?k=alien+journal&page=1
taxes tracker,4810,0.0,0.00,Low,https://www.amazon.com/s?k=taxes+tracker&page=1,999,https://www.amazon.com/s?k=taxes+tracker&page=1
ship log book,4824,260.0,1.08,High,https://www.amazon.com/s?k=ship+log+book&page=1,1000,https://www.amazon.com/s?k=ship+log+book&page=1
bird log book,4742,50.0,0.85,High,https://www.amazon.com/s?k=bird+log+book&page=1,5000,https://www.amazon.com/s?k=bird+log+book&page=1
email journal,4811,320.0,57.66,High,https://www.amazon.com/s?k=email+journal&page=1,1000,https://www.amazon.com/s?k=email+journal&page=1
media planner,4741,5400.0,2.14,High,https://www.amazon.com/s?k=media+planner&page=1,40000,https://www.amazon.com/s?k=media+planner&page=1
pre k tracing,4813,0.0,0.00,Low,https://www.amazon.com/s?k=pre+k+tracing&page=1,2000,https://www.amazon.com/s?k=pre+k+tracing&page=1
fish log book,4812,30.0,0.35,High,https://www.amazon.com/s?k=fish+log+book&page=1,3000,https://www.amazon.com/s?k=fish+log+book&page=1
bank log book,4742,20.0,1.01,High,https://www.amazon.com/s?k=bank+log+book&page=1,916,https://www.amazon.com/s?k=bank+log+book&page=1
goat calendar,4741,260.0,0.34,High,https://www.amazon.com/s?k=goat+calendar&page=1,844,https://www.amazon.com/s?k=goat+calendar&page=1
sex calendars,4740,0.0,0.00,Low,https://www.amazon.com/s?k=sex+calendars&page=1,5000,https://www.amazon.com/s?k=sex+calendars&page=1
