Name,Short Description,Description,Regular Price,Sale Price,Categories,Images
"Peace Lily, Spathiphyllum - Plant","<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>One of the rarest indoor flowering plant.</li><li>NASA recommended air purifier flowering plant.</li><li>Easy to care and low maintenance plant.</li><li>Best for office desk, bedroom.</li><li>Natural indirect / artificial bright light is ideal for peace lily plant growth.</li><li>The soil should be well drained and fertile, rich in organic content.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>Apply 1 cup (Approx. 50 ml) water when the top soil (1-2 inch) in pot feels dry to touch.</li><li>Apply water probably in the morning or evening time.</li><li>Do not overwater the plant.</li><li>As a rule of thumb, water the plant thoroughly in the summer and reduce watering in winter and rainy season.</li><li>Before application of fertilizer loosen the topsoil without disturbing the roots of the plant so it can uptake the nutrients and moisture.</li><li>During the main growing season (Feb to May, July to Sept.) feed the plant with organic fertilizer once a month.</li><li>Apply water immediately after application of fertilizer.</li><li>Remove dead, infected or damaged plant parts and discard them away from the plants.</li><li>For any insect attack or disease, you can use Neem oil, Eucalyptus oil or Citrus oil spray for primary treatment.</li><li>Do not over water the plant especially when pot does not have drainage holes.</li><li>keep away from the AC Vents.</li><li>Keep the plant in Natural indirect bright light / Artificial bright Light.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>apply 3 cup (Approx. 150 ml) water when top soil (1-2 inches) feels dry to touch.</li><li>Do not re-pot for min. 2 weeks after receiving it.</li><li>It makes an excellent container or house plant</li><li>It Beautifies Your house</li>",₹ 199,₹ 169,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-g-plants-peace-lily-spathiphyllum-plant-887951_600x600.jpg?v=1679750814, https://nurserylive.com/cdn/shop/products/nurserylive-plants-peace-lily-spathiphyllum-plant-1-124667_525x700.jpg?v=1679750814, https://nurserylive.com/cdn/shop/products/nurserylive-plants-peace-lily-spathiphyllum-plant-2-420344_525x700.jpg?v=1679750814, https://nurserylive.com/cdn/shop/products/nurserylive-plants-peace-lily-spathiphyllum-plant-3-541544_525x700.jpg?v=1679750814, https://nurserylive.com/cdn/shop/products/nurserylive-plants-peace-lily-spathiphyllum-plant-4-857956_525x700.jpg?v=1679750814, https://nurserylive.com/cdn/shop/products/nurserylive-plants-peace-lily-spathiphyllum-plant-5-432492_525x700.jpg?v=1679750814, https://nurserylive.com/cdn/shop/products/nurserylive-peace-lily-spathiphyllum-plant-in-4-inch-10-cm-black-pot-230563_600x600.jpg?v=1685021926, "
"Elephant bush, Portulacaria afra, Jade plant (Green) - Succulent Plant","<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>Keep the plant in Natural indirect /Artificial bright Light.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>apply 1 cup (Approx. 50 ml) water when top soil (3-4 inches) feels dry to touch.</li><li>Do not re-pot for min. 2 weeks after receiving it.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>Apply 1 cup (Approx. 50 ml) of water when the top soil (3-4 inch) in pot feels dry to touch.</li><li>Apply water probably in the morning or evening time.</li><li>Do not overwater the plant.</li><li>As a rule of thumb, water the plant thoroughly in the summer and reduce watering in winter and rainy season.</li><li>It makes an excellent container or house plant</li>",₹ 199,₹ 169,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-g-plant-elephant-bush-portulacaria-afra-jade-green-plant-in-4.5-inch-11-cm-ronda-No-1110-round-plastic-green-planter-558634_600x600.jpg?v=1679749890, https://nurserylive.com/cdn/shop/products/nurserylive-plant-elephant-bush-portulacaria-afra-jade-green-plant-in-4.5-inch-11-cm-ronda-No-1110-round-plastic-green-planter-1-629198_525x700.jpg?v=1679749890, https://nurserylive.com/cdn/shop/products/nurserylive-elephant-bush-portulacaria-afra-jade-plant-green-succulent-plant-2-849130_525x700.jpg?v=1679749890, https://nurserylive.com/cdn/shop/products/nurserylive-plant-elephant-bush-portulacaria-afra-jade-green-plant-in-4.5-inch-11-cm-ronda-No-1110-round-plastic-green-planter-3-351388_525x700.jpg?v=1679749890, https://nurserylive.com/cdn/shop/products/nurserylive-plant-elephant-bush-portulacaria-afra-jade-green-plant-in-4.5-inch-11-cm-ronda-No-1110-round-plastic-green-planter-4-251363_525x700.jpg?v=1679749890, https://nurserylive.com/cdn/shop/products/nurserylive-plant-elephant-bush-portulacaria-afra-jade-green-plant-in-4.5-inch-11-cm-ronda-No-1110-round-plastic-green-planter-5-192970_525x700.jpg?v=1679749890, https://nurserylive.com/cdn/shop/products/nurserylive-jade-plant-elephant-bush-green-succulent-plant-in-4-inch-10-cm-black-pot-434709_600x600.jpg?v=1684935612, "
5 Best Indoor Plants Pack,"<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>You get different 5 houseplants in the single pack</li><li>Plants in this pack are easy to care.</li><li>These are the best plants for improving air quality and controlling the inside temperature.
<h3>Combo constituents</h3>
<table border=""1"" class=""crm_product_attr_table"">
<tbody>
<tr>
<th>SrNo</th>
<th>Item name</th>
<th>Qty</th>
</tr>
<tr>
<td>1</td>
<td><span>Syngonium podophyllum Mini Pixie Plant</span></td>
<td>1</td>
</tr>
<tr>
<td></td>
<td>5 inch (13 cm) Grower Round Plastic Pot (Black)</td>
<td>1</td>
</tr>
<tr>
<td>2</td>
<td>Chlorophytum, Spider Plant - Plant</td>
<td>1</td>
</tr>
<tr>
<td></td>
<td>5 inch (13 cm) Grower Round Plastic Pot (Black)</td>
<td>1</td>
</tr>
<tr>
<td>3</td>
<td>Peace Lily, Spathiphyllum - Plant</td>
<td>1</td>
</tr>
<tr>
<td></td>
<td>5 inch (13 cm) Grower Round Plastic Pot (Black)</td>
<td>1</td>
</tr>
<tr>
<td>4</td>
<td>Snake Plant, Sansevieria trifasciata, Sansevieria zeylanica - Plant</td>
<td>1</td>
</tr>
<tr>
<td></td>
<td>5 inch (13 cm) Grower Round Plastic Pot (Black)</td>
<td>1</td>
</tr>
<tr>
<td>5</td>
<td><span>Super Marble Pebbles (White, Small, Polished) - 250 g </span></td>
<td>1</td>
</tr>
<tr>
<td>6</td>
<td>Money Plant, Scindapsus (Green) - Plant</td>
<td>1</td>
</tr>
<tr>
<td></td>
<td>5 inch (13 cm) Grower Round Plastic Pot (Black)</td>
<td>1</td>
</tr>
</tbody>
</table>
<h3>Special Feature</h3>
<p>You can decorate your house or room with these adorable indoor plants. The plants in this pack are loved among the gardeners for their beauty and they are low maintenance plants. This plant is best to add beauty and texture to the interior.</p>
</li>","₹ 1,470","₹ 1,159",Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-combo-packs-plants-5-best-indoor-plants-pack-16968508997772_600x600.jpg?v=1634209160, https://nurserylive.com/cdn/shop/products/nurserylive-5-best-indoor-plants-pack-1-402837_525x700.jpg?v=1679748305, "
Syngonium (Pink) - Plant,"<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>NASA recommended air purifier plant.</li><li>Best for AC rooms, office desk, etc.</li><li>Best indoor plant for low light condition.</li><li>Low maintenance plant.</li><li>Attractive foliage plant.</li><li>Natural indirect / artificial bright light is ideal for Syngonium plant growth.</li><li>The soil should be well drained and fertile, rich in organic content.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>Apply 1 cup (Approx. 50 ml) water when the top soil (1-2 inch) in pot feels dry to touch.</li><li>Apply water probably in the morning or evening time.</li><li>Do not overwater the plant.</li><li>As a rule of thumb, water the plant thoroughly in the summer and reduce watering in winter and rainy season.</li><li>Before application of fertilizer loosen the topsoil without disturbing the roots of the plant so it can uptake the nutrients and moisture.</li><li>During the main growing season (Feb to May, July to Sep) feed the plant with organic fertilizer once a month.</li><li>Apply water immediately after application of fertilizer.</li><li>Remove dead, infected or damaged plant parts and discard them away from the plants.</li><li>For any insect attack or disease, you can use Neem oil, Eucalyptus oil or Citrus oil spray for primary treatment.</li><li>Do not over water the plant especially when pot does not have drainage holes.</li><li>keep away from the AC Vents.</li><li>Keep the plant in Natural indirect /Artificial bright Light.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>apply 1 cup (Approx. 50 ml) water when top soil (1-2 inches) feels dry to touch.</li><li>Do not re-pot for min. 2 weeks after receiving it.</li><li>Used as a houseplant for its beautiful foliage</li>",₹ 199,₹ 169,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-g-plants-syngonium-pink-plant_600x600.jpg?v=1635748921, https://nurserylive.com/cdn/shop/products/nurserylive-syngonium-pink-plant-1-566011_525x700.jpg?v=1679751750, https://nurserylive.com/cdn/shop/products/nurserylive-syngonium-pink-plant-2-121914_525x700.jpg?v=1679751750, https://nurserylive.com/cdn/shop/products/nurserylive-syngonium-pink-plant-3-710063_525x700.jpg?v=1679751750, https://nurserylive.com/cdn/shop/products/nurserylive-syngonium-pink-plant-4-512754_525x700.jpg?v=1679751750, https://nurserylive.com/cdn/shop/products/nurserylive-syngonium-pink-plant-5-410852_525x700.jpg?v=1679751750, https://nurserylive.com/cdn/shop/products/nurserylive-syngonium-pink-plant-in-4-inch-10-cm-black-pot-188185_600x600.jpg?v=1685023242, "
Top 5 air purifier and oxygen enriching plant pack,"<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>Reducing carbon dioxide levels</li><li>Increasing humidity</li><li>Reducing levels of certain pollutants, such as benzene and nitrogen dioxide</li><li>Reducing airborne dust levels</li><li>Keeping air temperatures down</li><li>Plants help lower background noise</li><li>Plants have long been used to reduce noise from busy roads</li><li>Plants are incredibly beneficial to indoor work spaces,they also have air purifying qualities</li><li>All plants can act as air cleaners but some are more beneficial than others when it comes to removing toxins in the air</li>","₹ 1,620","₹ 1,299",Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-combo-packs-plants-top-5-air-purifier-and-oxygen-enriching-plant-pack-16969387507852_600x600.jpg?v=1634230232, https://nurserylive.com/cdn/shop/products/nurserylive-top-5-air-purifier-and-oxygen-enriching-plant-pack-1-362999_525x700.jpg?v=1679751769, "
"Chlorophytum, Spider Plant - Plant","<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>Attractive foliage plant.</li><li>Best plant for AC rooms, office desk.</li><li>Easy to care and low maintenance plant.</li><li>Best indoor plant for low light condition</li><li>Keep the plant indoor with natural bright light/indirect bright light.</li><li>Protect the plant from direct harsh sunlight as it can cause damage to the foliage.</li><li>The soil should be well drained and fertile rich in organic content.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>Water when top soil (3-4 inches) feels dry to touch.</li><li>Water thoroughly in the summer and reduce watering in winter and rainy season.</li><li>During the main growing season feed the plant with organic fertilizer once a month.</li><li>Loosen the topsoil without disturbing the roots of the plant so it can uptake the nutrients and moisture easily.</li><li>When a plant outgrows in current pot, re-pot with fresh potting soil and some fertilizer.</li><li>Do the re-potting late evening and keep the plant in shady area for 2 to 3 days and then move the plant in its suitable climatic condition.</li><li>Remove dead, infected or damaged plant parts and dispose them away from the planting area.</li><li>Spray Neem, Eucalyptus or Citrus oil for any insect/pest attack, as a primary treatment.</li><li>Easily grows in AC rooms but away from AC vents.</li><li>Do not over-water the plant especially when pot does not have drainage holes.</li><li>Keep the plant in natural indirect bright Light.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>Water when top soil (1-2 inches) feels dry to touch.</li><li>Do not re-pot for min. 2 weeks after receiving it.</li><li>Best as potted plant and in hanging basket</li>",₹ 324,₹ 259,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-g-chlorophytum-spider-plant-plant_6c3477e8-39ca-4d4b-b51a-1f9fb435ac17_600x600.jpg?v=1634216138, https://nurserylive.com/cdn/shop/products/nurserylive-chlorophytum-spider-plant-plant-1_b45bcc34-3afa-4ae1-a632-3f13d42c2c90_525x700.jpg?v=1634216136, https://nurserylive.com/cdn/shop/products/nurserylive-chlorophytum-spider-plant-plant-2-450328_525x700.jpg?v=1679749486, https://nurserylive.com/cdn/shop/products/nurserylive-chlorophytum-spider-plant-plant-3_525x700.jpg?v=1666441875, https://nurserylive.com/cdn/shop/products/nurserylive-chlorophytum-spider-plant-plant-4_525x700.jpg?v=1666441875, https://nurserylive.com/cdn/shop/products/nurserylive-chlorophytum-spider-plant-plant-5_0436ba11-d690-4b09-9ab2-1d1607cf5f2a_525x700.jpg?v=1666441875, "
Plant Pack For Healthy Home-Office,"<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>This gift pack contains jade plant + Money Plant Golden + Peace Lily + Syngonium variegated + ArecaPalm (Small) plants in colourfull pots.</li><li>Plants in this pack are very easy to care and require low maintenance.</li><li>All plants in this pack are NASA recommended air purifier plants.</li><li>Plant in this pack Best for AC rooms, office desk, Home.</li><li>Plant in this pack Best indoor plant for low light conditions.</li><li>Plants in this pack are natural air conditioners and cleanse the air around you by releasing oxygen.</li><li>These plants are also known to reduce stress, anxiety, improves mood and concentration when placed around you.</li><li>All plants are Low maintenance plant easy to care and grow.</li><li>Plants in this pack are Best for AC rooms, office desk, bedroom.</li>","₹ 1,255","₹ 1,059",Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-combo-packs-plants-plant-pack-for-healthy-home-office-155522_600x600.jpg?v=1679750881, "
Top 5 Plants for Healthy and Prosperous New Year,"<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>Natural air purifier plants.</li><li>Best indoor plants.</li><li>Easy to grow plants.</li><li>You will get 5 Plants + 5 Colorful Pots in a single pack.</li><li>These air-purifying indoor plants absorb many harmful pollutants and particles.</li><li>All plants are easy to care and require low maintenance.</li><li>These plants can be placed in indoor with bright indirect light.</li><li>Bring <b>Good Luck</b> to your home with Jade plant.</li><li>Make your surroundings pollution free and live a <b>Healthy</b> life with Spider plant.</li><li>Make yourself <b>Wealthy</b> by bringing Money plant.</li><li>Spread <b>Joy</b> with Peace lily plant.</li><li>Fill your home with <b>Happiness</b> by bringing Syngonium plant.</li><li>These plants are also known to reduce stress, anxiety, improves mood and concentration when placed around.</li><li>These plants can be used to decorate your outdoor as well as indoor spaces.</li>","₹ 1,205","₹ 1,059",Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-combo-packs-plants-top-5-plants-for-healthy-and-prosperous-new-year-16969394913420_600x600.jpg?v=1634230380, "
"Money plant marble prince, Scindapsus n joy - Plant","<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>NASA recommended air purifier plant.</li><li>Best plant for AC rooms, office desk, etc.</li><li>Popular low maintainence, good luck plant.</li><li>Best for both indoor and outdoor.</li><li>Used in pot as well as in hanging.</li><li>Natural indirect / artificial bright light is ideal for money plant growth.</li><li>The soil should be well drained and fertile, rich in organic content.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>Apply 1 cup (Approx. 50 ml) water when the top soil (1-2 inch) in pot feels dry to touch.</li><li>Apply water probably in the morning or evening time.</li><li>Do not overwater the plant.</li><li>As a rule of thumb, water the plant thoroughly in the summer and reduce watering in winter and rainy season.</li><li>Before application of fertilizer loosen the topsoil without disturbing the roots of the plant so it can uptake the nutrients and moisture.</li><li>During the main growing season (Feb-May, July-Sept.) feed the plant with organic fertilizer once a month.</li><li>Apply water immediately after application of fertilizer.</li><li>Remove dead, infected or damaged plant parts and discard them away from the plants.</li><li>For any insect attack or disease, you can use Neem oil, Eucalyptus oil or Citrus oil spray for primary treatment.</li><li>Do not over water the plant especially when pot does not have drainage holes.</li><li>keep away from the AC Vents.</li><li>Keep the plant in Natural indirect /Artificial bright Light.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>apply 1 cup (Approx. 50 ml) water when top soil (1-2 inches) feels dry to touch.</li><li>Do not re-pot for min. 2 weeks after receiving it.</li><li>It makes an excellent container or house plant</li><li>It can also be grown in hanging baskets</li>",₹ 234,₹ 199,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-g-plants-money-plant-marble-prince-scindapsus-n-joy-plant_700x700.jpg?v=1635585668, https://nurserylive.com/cdn/shop/products/nurserylive-money-plant-marble-prince-scindapsus-n-joy-plant-1-438381_525x700.jpg?v=1679750628, https://nurserylive.com/cdn/shop/products/nurserylive-money-plant-marble-prince-scindapsus-n-joy-plant-2-162229_525x700.jpg?v=1679750628, https://nurserylive.com/cdn/shop/products/nurserylive-money-plant-marble-prince-scindapsus-n-joy-plant-3-221741_525x700.jpg?v=1679750628, https://nurserylive.com/cdn/shop/products/nurserylive-money-plant-marble-prince-scindapsus-n-joy-plant-4-965894_525x700.jpg?v=1679750628, https://nurserylive.com/cdn/shop/products/nurserylive-money-plant-marble-prince-scindapsus-n-joy-plant-5-592665_525x700.jpg?v=1679750628, https://nurserylive.com/cdn/shop/products/nurserylive-money-plant-marble-prince-scindapsus-n-joy-plant-in-4-inch-10-cm-black-pot-368431_600x600.jpg?v=1685021423, "
"Money Plant, Scindapsus (Green) - Plant","<div class=""product-short-description""> <div id=""legal_div"">
<p>(MRP Inclusive of all taxes)</p>
<ul>
<li>Shipping ₹ 79 for entire order</li>
<li>Dispatch in 7 days</li>
<li>Country of origin: India</li>
</ul>
</div> </div>","<li>NASA recommended air purifier plant.</li><li>Best plant for AC rooms, office desk.</li><li>Popular low maintainence, good luck plant.</li><li>Best for both indoor and outdoor.</li><li>Used in pot as well as in hanging.</li><li>Natural indirect / artificial bright light is ideal for money plant growth.</li><li>The soil should be well drained and fertile, rich in organic content.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>Apply 1 cup (Approx. 50 ml) water when the top soil (1-2 inch) in pot feels dry to touch.</li><li>Apply water probably in the morning or evening time.</li><li>Do not overwater the plant.</li><li>As a rule of thumb, water the plant thoroughly in the summer and reduce watering in winter and rainy season.</li><li>Before application of fertilizer loosen the topsoil without disturbing the roots of the plant so it can uptake the nutrients and moisture.</li><li>During the main growing season (Feb-May, July-Sept.) feed the plant with organic fertilizer once a month.</li><li>Apply water immediately after application of fertilizer.</li><li>Remove dead, infected or damaged plant parts and discard them away from the plants.</li><li>For any insect attack or disease, you can use Neem oil, Eucalyptus oil or Citrus oil spray for primary treatment.</li><li>Do not over water the plant especially when pot does not have drainage holes.</li><li>keep away from the AC Vents.</li><li>Keep the plant in Natural indirect /Artificial bright Light.</li><li>Poke your finger/plain small stick into the soil to check the moisture.</li><li>apply 1 cup (Approx. 50 ml) water when top soil (1-2 inches) feels dry to touch.</li><li>Do not re-pot for min. 2 weeks after receiving it.</li><li>It makes an excellent container or house plant</li><li>It can also be grown in hanging baskets</li>",₹ 199,₹ 169,Indoor Plants,"https://nurserylive.com/cdn/shop/products/nurserylive-g-plant-money-plant-scindapsus-green-plant-in-4.5-inch-11-cm-ronda-no-1110-round-plastic-turquoise-plant-548401_600x600.jpg?v=1679750636, https://nurserylive.com/cdn/shop/products/nurserylive-plant-money-plant-scindapsus-green-plant-in-4.5-inch-11-cm-ronda-no-1110-round-plastic-turquoise-plant-1-661701_525x700.jpg?v=1679750636, https://nurserylive.com/cdn/shop/products/nurserylive-money-plant-scindapsus-green-plant-2-724140_525x700.jpg?v=1679750636, https://nurserylive.com/cdn/shop/products/nurserylive-plant-money-plant-scindapsus-green-plant-in-4.5-inch-11-cm-ronda-no-1110-round-plastic-turquoise-plant-3-942201_525x700.jpg?v=1679750636, https://nurserylive.com/cdn/shop/products/nurserylive-plant-money-plant-scindapsus-green-plant-in-4.5-inch-11-cm-ronda-no-1110-round-plastic-turquoise-plant-4-514600_525x700.jpg?v=1679750636, https://nurserylive.com/cdn/shop/products/nurserylive-plant-money-plant-scindapsus-green-plant-in-4.5-inch-11-cm-ronda-no-1110-round-plastic-turquoise-plant-5-912820_525x700.jpg?v=1679750636, https://nurserylive.com/cdn/shop/products/nurserylive-money-plant-scindapsus-green-plant-in-4-inch-10-cm-black-pot-224662_600x600.jpg?v=1685021448, "
