Serial Number,School Link,School Name,School Address,Phone Number,County,Students,Grade
1.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=320006000670,100 Academy of Engineering and Technology ES,"2341 COMSTOCK DR, N LAS VEGAS, NV 89032",(702)636-2551,Clark County,300,KG-5
2.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=320006000756,100 Academy of Engineering and Technology MS,"2341 COMSTOCK DR, N LAS VEGAS, NV 89032",(702)636-2551,Clark County,147,6-8
3.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=270819004415,112 ALC Independent Study,"11 PEAVEY RD, CHASKA, MN 55318",(952)556-6192,Carver County,45,9-12
4.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=270819004622,112 ALC MIDDLE SCHOOL,"11 PEAVEY RD, CHASKA, MN 55318",(952)556-6192,Carver County,243,6-8
5.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=270819005118,112 ALC Seat-Based,"11 PEAVEY RD, CHASKA, MN 55318",(952)556-6192,Carver County,0,6-12
6.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=484496013299,21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,"319 W 4TH ST, WESLACO, TX 78596",(956)969-6620,Hidalgo County,429,PK
7.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=200672002055,21st Century Learning Academy/Kiowa County,"730 S. Main, Greensburg, KS 67054",(620)723-1130,Kiowa County,108,6-12
8.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=350018700811,21ST CENTURY PUBLIC ACADEMY,"4300 CUTLER AVE. NE, ALBUQUERQUE, NM 87110",(505)254-0280,Bernalillo County,364,1-8
9.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=270002502875,270 HOPKINS ALTERNATIVE,"2400 LINDBERGH DR, MINNETONKA, MN 55305",(952)988-4509,Hennepin County,0,9-12
10.,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&InstName=A&SchoolType=1&SchoolType=2&SchoolType=3&SchoolType=4&SpecificSchlTypes=all&IncGrade=-1&LoGrade=-1&HiGrade=-1&ID=270002503397,270 HOPKINS NORTH JR HIGH ALC,"10700 CEDAR LAKE RD, MINNETONKA, MN 55305",(952)988-4843,Hennepin County,0,7-12
